P0,ndot,tads,alpha,beta,PI,Pl,productivity,energy,purity,recovery
100146.484375,1.441162109375,376.591796875,0.20532226562500003,0.28911132812500007,12299.598217010498,7261.71875,4.557219570898406e-5,193.11634409730533,0.4572630024266236,0.9829656326359444
100219.7265625,0.9705810546875,309.6044921875,0.32404785156250004,0.19587402343750002,47006.895899772644,7884.765625,3.300618329376096e-5,226.00997723994038,0.33068401366951916,0.9992431294981982
100439.453125,1.064697265625,212.236328125,0.24604492187500002,0.26713867187500007,18776.16262435913,8753.90625,3.6961215463002645e-5,184.21474772944134,0.3571074188248632,0.9995041042080416
100732.421875,0.688232421875,239.130859375,0.25161132812500003,0.3951660156250001,33195.40739059448,4277.34375,2.5951587218945754e-5,253.78463647249978,0.3379537300621364,0.9990852412371574
100805.6640625,1.7235107421875,340.8154296875,0.22150878906250002,0.11325683593750001,19775.334239006042,4900.390625,5.369691189087501e-5,235.57664986783277,0.40810330558902463,0.9765410090274872
101025.390625,1.817626953125,94.697265625,0.292333984375,0.34858398437500004,27757.3561668396,3769.53125,6.180513789525798e-5,287.70407608993,0.32303221935328413,0.9989741848952903
101098.6328125,0.5941162109375,165.8349609375,0.17844238281250002,0.1428466796875,24104.241251945496,3392.578125,2.531924887741812e-5,230.6406695700599,0.28699700469776573,0.9991417041004216
101318.359375,1.060302734375,117.607421875,0.337744140625,0.17075195312500002,50141.97492599487,4605.46875,4.0325454447542685e-5,277.0051984886325,0.2672244946311505,0.9995753625575331
101391.6015625,1.5272216796875,228.5888671875,0.1517822265625,0.34001464843750007,6803.728938102722,4228.515625,5.019128446655654e-5,207.79339633751619,0.46051168975608003,0.9967756070301788
101611.328125,1.433837890625,303.876953125,0.38081054687500004,0.12299804687500002,44632.508754730225,3097.65625,4.6767623934808456e-5,388.42126555698826,0.3061908380167498,0.9961930257939199
101684.5703125,1.1536865234375,360.4052734375,0.11105957031250001,0.3660888671875,12176.358103752136,3720.703125,3.801255517365781e-5,193.8696822816711,0.5192385222686793,0.9947126403464573
101904.296875,1.807373046875,150.146484375,0.12153320312500002,0.22055664062500002,19067.431926727295,7621.09375,5.919265348214883e-5,146.56122607276632,0.437091836647348,0.9964392698488622
101977.5390625,0.7801513671875,89.7998046875,0.3867431640625001,0.27614746093750003,37436.05124950409,7244.140625,3.474364095278035e-5,240.22942608039085,0.23484834913856426,1.0005723763037833
102197.265625,0.686767578125,356.337890625,0.164599609375,0.18569335937500003,24295.75490951538,8113.28125,2.4320657708464654e-5,158.50273791753258,0.39297779674637245,0.9989479666043702
102270.5078125,1.9007568359375,244.1943359375,0.34602050781250004,0.31745605468750004,33155.04539012909,8736.328125,6.045295678308806e-5,238.59880215893403,0.36817613383088005,0.9952327721955817
102490.234375,0.562255859375,187.998046875,0.3951660156250001,0.3570800781250001,15131.370067596436,9949.21875,2.328518267046154e-5,218.01798756147952,0.2671671496671195,1.0004664257558287
102563.4765625,1.9666748046875,131.6357421875,0.1342041015625,0.15134277343750002,43936.78176403046,9322.265625,6.384545316413826e-5,137.39778262111057,0.4155277915310931,0.9958873349336101
102783.203125,1.685791015625,395.517578125,0.36088867187500007,0.38666992187500004,7121.804714202881,6441.40625,4.900110951027464e-5,309.67782844064874,0.37626363043576133,0.9133758223424497
102856.4453125,0.8431396484375,284.7021484375,0.1661376953125,0.1047607421875,48803.242564201355,6814.453125,2.9730021604810417e-5,170.42562101898352,0.37843207183151667,0.9989899049132703
103076.171875,1.309326171875,71.787109375,0.14145507812500002,0.252197265625,33062.22867965698,2964.84375,5.107313664351948e-5,225.9545963185114,0.2949200439479439,0.9986694904484423
103149.4140625,1.2196044921875,184.0966796875,0.3316650390625,0.23278808593750003,23434.231638908386,2337.890625,4.2574699476020564e-5,375.6562745676525,0.31079288751188,0.9981212439386407
103369.140625,0.938720703125,256.728515625,0.107177734375,0.304052734375,39653.67269515991,5457.03125,3.294380500992039e-5,164.02970071491254,0.4340394586623833,0.9976438659176324
103442.3828125,1.5902099609375,317.2412109375,0.36359863281250004,0.21081542968750003,19890.95389842987,5830.078125,5.1066802883629205e-5,295.6760546124219,0.3367750270286329,0.9940640174648256
103662.109375,1.939208984375,279.638671875,0.22290039062500003,0.18247070312500002,40021.5220451355,2167.96875,6.0959774358418936e-5,330.57198261778217,0.41475022984499677,0.9842933624041955
103735.3515625,0.5311279296875,379.9951171875,0.26662597656250003,0.31423339843750003,11825.892329216003,2541.015625,1.9803716192489205e-5,320.1900544060896,0.3368709302029706,0.9981656793173458
103955.078125,0.812744140625,136.533203125,0.190966796875,0.22377929687500003,46346.17757797241,5660.15625,3.2748488304159605e-5,198.51819564279543,0.29913635852547166,0.9996144317307883
104028.3203125,1.6575927734375,203.6865234375,0.3009033203125,0.27937011718750004,8692.120432853699,5033.203125,5.447678953385445e-5,274.5423128356209,0.3591286807790669,0.9978437269133998
104248.046875,1.186279296875,333.427734375,0.30668945312500007,0.133837890625,30255.435466766357,9183.59375,3.923345914530504e-5,208.92301751799596,0.3406682651843707,0.9986619454098559
104321.2890625,1.2840576171875,262.4560546875,0.2015869140625,0.3769287109375,33302.964091300964,9556.640625,4.2705456078015454e-5,171.17693696120475,0.4339880952164547,0.9982881865187802
104541.015625,1.565673828125,167.744140625,0.274755859375,0.159912109375,23484.384059906006,6675.78125,5.2542153502969436e-5,223.5606368319657,0.3348757958487388,0.9991927368980886
104614.2578125,0.9046630859375,66.2255859375,0.23586425781250003,0.32917480468750004,37388.37516307831,6048.828125,4.155847069215099e-5,212.71639266896446,0.24480665019515208,1.0000543794578882
