P0,ndot,tads,alpha,beta,PI,Pl,purity_s1,recovery_s1,productivity_s1,energy_s1,purity_s2,recovery_s2,productivity_s2,energy_s2,purity_s3,recovery_s3,productivity_s3,energy_s3,final_purity,final_recovery,overall_recovery
100146.484375,1.441162109375,376.591796875,0.20532226562500003,0.28911132812500007,12299.598217010498,7261.71875,0.43436333020198414,0.9981623592104825,3.6687932045244826e-5,193.80805185765138,0.7636493994191185,0.9993765003975554,0.00011187075491837664,97.62373324620629,0.9306897987737853,0.8490369395159353,0.0001874051707580713,75.45790376131656,0.9306897987737853,0.8490369395159353,0.846948313209437
100219.7265625,0.9705810546875,309.6044921875,0.32404785156250004,0.19587402343750002,47006.895899772644,7884.765625,0.31195850466089226,1.000130166050725,2.6744455031061635e-5,229.16066444804983,0.5299931006267544,1.0000770971033428,5.783734438018569e-5,128.33846554955826,0.7266102020951613,1.000123333251831,0.00010686528747236094,88.40417694705485,0.7266102020951613,1.000123333251831,1.0003306320050005
100439.453125,1.064697265625,212.236328125,0.24604492187500002,0.26713867187500007,18776.16262435913,8753.90625,0.32842171856930497,1.0003208979212654,3.035852788736699e-5,191.29124199972367,0.5612707038806046,1.0002129485521678,7.017626087493786e-5,108.14440455023696,0.7530885326184357,1.0003898618930123,0.00013485841264337028,77.22764568718465,0.7530885326184357,1.0003898618930123,1.000923984854231
100732.421875,0.688232421875,239.130859375,0.25161132812500003,0.3951660156250001,33195.40739059448,4277.34375,0.3057402062822455,1.0000846795154719,2.178650304105759e-5,267.097221865998,0.5082148284348391,1.0000067035202256,4.7156233857972416e-5,155.34772290050802,0.6884088759056386,1.0000432085341262,8.805472101488267e-5,110.91878592286234,0.6884088759056386,1.0000432085341262,1.000134596086026
100805.6640625,1.7235107421875,340.8154296875,0.22150878906250002,0.11325683593750001,19775.334239006042,4900.390625,0.3936326372108172,0.9971736472317653,4.340072437429005e-5,235.72394093791956,0.7003328273066612,0.9988958110170574,0.00011870560175319974,121.72955097044115,0.8956733288123627,0.9986857381753795,0.00023534061424853624,90.01378989213924,0.8956733288123627,0.9986857381753795,0.9947634789111799
101025.390625,1.817626953125,94.697265625,0.292333984375,0.34858398437500004,27757.3561668396,3769.53125,0.2951488791996392,1.0000106479502766,5.176177995923242e-5,298.832459416653,0.4856963345321855,0.9999112460262377,0.0001074698393044357,174.45992696491282,0.6633006924045296,0.9999607626220443,0.00019595726928330526,122.4440213066462,0.6633006924045296,0.9999607626220443,0.9998826587182232
101098.6328125,0.5941162109375,165.8349609375,0.17844238281250002,0.1428466796875,24104.241251945496,3392.578125,0.25870649662940814,0.9999799878869667,2.2062616842359024e-5,260.9802380011171,0.39818534897889757,0.9999543724258534,4.0211526817098455e-5,174.18161430341607,0.5420061755172758,0.9999931530110135,6.772909228930802e-5,130.97370106449344,0.5420061755172758,0.9999931530110135,0.9999275146863658
101318.359375,1.060302734375,117.607421875,0.337744140625,0.17075195312500002,50141.97492599487,4605.46875,0.2473709092794156,1.0002070343663714,3.4504028532660196e-5,292.1718467475478,0.373169157352749,1.0001495713489137,5.9363824369966496e-5,191.99230029064262,0.5089055542893725,1.0001130770068452,9.586480915186253e-5,139.1717190427457,0.5089055542893725,1.0001130770068452,1.0004697540159482
101391.6015625,1.5272216796875,228.5888671875,0.1517822265625,0.34001464843750007,6803.728938102722,4228.515625,0.420803616186194,0.9993484588826892,4.0566722240510864e-5,213.9611450116646,0.7316330161477266,0.9995535682613736,0.00012192226372538606,114.16948818067844,0.9014584413609724,0.9995978725752787,0.0002550060193848885,88.8431303329474,0.9014584413609724,0.9995978725752787,0.9985006319960059
101611.328125,1.433837890625,303.876953125,0.38081054687500004,0.12299804687500002,44632.508754730225,3097.65625,0.2950548155197266,0.999146243893792,3.7502924463554686e-5,385.66528804333217,0.49446466662028676,0.9993047049733171,7.576463944982996e-5,215.10934626196243,0.6908595107737932,0.9995442402710975,0.0001342339850698317,142.83686605918365,0.6908595107737932,0.9995442402710975,0.9979964884751611
101684.5703125,1.1536865234375,360.4052734375,0.11105957031250001,0.3660888671875,12176.358103752136,3720.703125,0.4733786749184814,0.9987757704425024,3.0575884577383535e-5,200.34102637249723,0.8043565771237432,0.9992756740937898,0.00010434315094215263,108.54705714963947,0.9488919595302622,0.9992919907024104,0.00022225780208884574,90.36524761024673,0.9488919595302622,0.9992919907024104,0.9973457009474503
101904.296875,1.807373046875,150.146484375,0.12153320312500002,0.22055664062500002,19067.431926727295,7621.09375,0.3958918277101346,0.9990576727268207,4.828430715359395e-5,155.97539923964226,0.6881277928407121,0.9993212186968164,0.00013683511796120284,89.04336548784475,0.8646453044673617,0.99953119507067,0.0002847270558543422,69.06499166842177,0.8646453044673617,0.99953119507067,0.9979114858122696
101977.5390625,0.7801513671875,89.7998046875,0.3867431640625001,0.27614746093750003,37436.05124950409,7244.140625,0.2173426932248634,1.0010881629514101,3.102638845371847e-5,258.1045103861657,0.3001965937435616,1.0009051678668062,4.673933027009997e-5,187.4471737531032,0.39287213875886956,1.0009112855959483,6.819062550383452e-5,143.43325914510174,0.39287213875886956,1.0009112855959483,1.0029074187755538
102197.265625,0.686767578125,356.337890625,0.164599609375,0.18569335937500003,24295.75490951538,8113.28125,0.35803411792168294,0.9999925910064967,1.991974091612922e-5,167.9259098154023,0.6200323405337315,0.9999839954214695,5.0627187651841794e-5,95.66797607585399,0.8087184017775656,1.0001064886548154,0.00010132400751057572,71.6027895346588,0.8087184017775656,1.0001064886548154,1.0000830727080923
102270.5078125,1.9007568359375,244.1943359375,0.34602050781250004,0.31745605468750004,33155.04539012909,8736.328125,0.351549030211693,0.9994762553868177,4.8363944552052056e-5,236.8658140191995,0.619250124502571,0.9998164892670598,0.00011756833711183588,120.71467199611425,0.8261177873368877,1.0000191665489238,0.00022667524672116457,81.6478248139125,0.8261177873368877,1.0000191665489238,0.9993119937617571
