P0,ndot,tads,alpha,beta,PI,Pl,purity_s1,recovery_s1,productivity_s1,energy_s1,final_purity,final_recovery,overall_recovery
100146.484375,1.441162109375,376.591796875,0.20532226562500003,0.28911132812500007,12299.598217010498,7261.71875,0.43436333020198414,0.9981623592104825,3.6687932045244826e-5,193.80805185765138,0.43436333020198414,0.9981623592104825,0.9981623592104825
100219.7265625,0.9705810546875,309.6044921875,0.32404785156250004,0.19587402343750002,47006.895899772644,7884.765625,0.31195850466089226,1.000130166050725,2.6744455031061635e-5,229.16066444804983,0.31195850466089226,1.000130166050725,1.000130166050725
100439.453125,1.064697265625,212.236328125,0.24604492187500002,0.26713867187500007,18776.16262435913,8753.90625,0.32842171856930497,1.0003208979212654,3.035852788736699e-5,191.29124199972367,0.32842171856930497,1.0003208979212654,1.0003208979212654
100732.421875,0.688232421875,239.130859375,0.25161132812500003,0.3951660156250001,33195.40739059448,4277.34375,0.3057402062822455,1.0000846795154719,2.178650304105759e-5,267.097221865998,0.3057402062822455,1.0000846795154719,1.0000846795154719
100805.6640625,1.7235107421875,340.8154296875,0.22150878906250002,0.11325683593750001,19775.334239006042,4900.390625,0.3936326372108172,0.9971736472317653,4.340072437429005e-5,235.72394093791956,0.3936326372108172,0.9971736472317653,0.9971736472317653
101025.390625,1.817626953125,94.697265625,0.292333984375,0.34858398437500004,27757.3561668396,3769.53125,0.2951488791996392,1.0000106479502766,5.176177995923242e-5,298.832459416653,0.2951488791996392,1.0000106479502766,1.0000106479502766
101098.6328125,0.5941162109375,165.8349609375,0.17844238281250002,0.1428466796875,24104.241251945496,3392.578125,0.25870649662940814,0.9999799878869667,2.2062616842359024e-5,260.9802380011171,0.25870649662940814,0.9999799878869667,0.9999799878869667
101318.359375,1.060302734375,117.607421875,0.337744140625,0.17075195312500002,50141.97492599487,4605.46875,0.2473709092794156,1.0002070343663714,3.4504028532660196e-5,292.1718467475478,0.2473709092794156,1.0002070343663714,1.0002070343663714
101391.6015625,1.5272216796875,228.5888671875,0.1517822265625,0.34001464843750007,6803.728938102722,4228.515625,0.420803616186194,0.9993484588826892,4.0566722240510864e-5,213.9611450116646,0.420803616186194,0.9993484588826892,0.9993484588826892
101611.328125,1.433837890625,303.876953125,0.38081054687500004,0.12299804687500002,44632.508754730225,3097.65625,0.2950548155197266,0.999146243893792,3.7502924463554686e-5,385.66528804333217,0.2950548155197266,0.999146243893792,0.999146243893792
101684.5703125,1.1536865234375,360.4052734375,0.11105957031250001,0.3660888671875,12176.358103752136,3720.703125,0.4733786749184814,0.9987757704425024,3.0575884577383535e-5,200.34102637249723,0.4733786749184814,0.9987757704425024,0.9987757704425024
101904.296875,1.807373046875,150.146484375,0.12153320312500002,0.22055664062500002,19067.431926727295,7621.09375,0.3958918277101346,0.9990576727268207,4.828430715359395e-5,155.97539923964226,0.3958918277101346,0.9990576727268207,0.9990576727268207
101977.5390625,0.7801513671875,89.7998046875,0.3867431640625001,0.27614746093750003,37436.05124950409,7244.140625,0.2173426932248634,1.0010881629514101,3.102638845371847e-5,258.1045103861657,0.2173426932248634,1.0010881629514101,1.0010881629514101
102197.265625,0.686767578125,356.337890625,0.164599609375,0.18569335937500003,24295.75490951538,8113.28125,0.35803411792168294,0.9999925910064967,1.991974091612922e-5,167.9259098154023,0.35803411792168294,0.9999925910064967,0.9999925910064967
102270.5078125,1.9007568359375,244.1943359375,0.34602050781250004,0.31745605468750004,33155.04539012909,8736.328125,0.351549030211693,0.9994762553868177,4.8363944552052056e-5,236.8658140191995,0.351549030211693,0.9994762553868177,0.9994762553868177
102490.234375,0.562255859375,187.998046875,0.3951660156250001,0.3570800781250001,15131.370067596436,9949.21875,0.24599917248633416,1.0012208445188524,2.010200511980313e-5,227.97872405820826,0.24599917248633416,1.0012208445188524,1.0012208445188524
102563.4765625,1.9666748046875,131.6357421875,0.1342041015625,0.15134277343750002,43936.78176403046,9322.265625,0.3781573262693954,0.99887889963185,5.218585299308717e-5,146.62452385773935,0.3781573262693954,0.99887889963185,0.99887889963185
102783.203125,1.685791015625,395.517578125,0.36088867187500007,0.38666992187500004,7121.804714202881,6441.40625,0.3806744216750823,0.9909731987686368,4.193969700744699e-5,292.243915975896,0.3806744216750823,0.9909731987686368,0.9909731987686368
102856.4453125,0.8431396484375,284.7021484375,0.1661376953125,0.1047607421875,48803.242564201355,6814.453125,0.3456402375256787,0.9999808032956489,2.4397863315607313e-5,181.4966977209578,0.3456402375256787,0.9999808032956489,0.9999808032956489
103076.171875,1.309326171875,71.787109375,0.14145507812500002,0.252197265625,33062.22867965698,2964.84375,0.2632808894963151,1.0000055280913496,4.476749417321315e-5,260.19893268721336,0.2632808894963151,1.0000055280913496,1.0000055280913496
103149.4140625,1.2196044921875,184.0966796875,0.3316650390625,0.23278808593750003,23434.231638908386,2337.890625,0.28972754829402375,0.9995865336564588,3.5169758171125296e-5,382.21199424542897,0.28972754829402375,0.9995865336564588,0.9995865336564588
103369.140625,0.938720703125,256.728515625,0.107177734375,0.304052734375,39653.67269515991,5457.03125,0.38812975385514786,0.9995619834661645,2.7073879413150096e-5,176.77788252242075,0.38812975385514786,0.9995619834661645,0.9995619834661645
103442.3828125,1.5902099609375,317.2412109375,0.36359863281250004,0.21081542968750003,19890.95389842987,5830.078125,0.3244798650085045,0.9990564541638576,4.08290727873849e-5,293.5779651115609,0.3244798650085045,0.9990564541638576,0.9990564541638576
103662.109375,1.939208984375,279.638671875,0.22290039062500003,0.18247070312500002,40021.5220451355,2167.96875,0.3949195616587765,0.9973774886038116,4.9099324595424356e-5,330.7132751049244,0.3949195616587765,0.9973774886038116,0.9973774886038116
103735.3515625,0.5311279296875,379.9951171875,0.26662597656250003,0.31423339843750003,11825.892329216003,2541.015625,0.3083215236751665,0.9996449294768769,1.646764328632431e-5,331.7809065870746,0.3083215236751665,0.9996449294768769,0.9996449294768769
103955.078125,0.812744140625,136.533203125,0.190966796875,0.22377929687500003,46346.17757797241,5660.15625,0.2693384793897572,1.0005133323673463,2.828877006066328e-5,220.94461999474046,0.2693384793897572,1.0005133323673463,1.0005133323673463
104028.3203125,1.6575927734375,203.6865234375,0.3009033203125,0.27937011718750004,8692.120432853699,5033.203125,0.33701381669421404,0.9996890245479578,4.407901977233758e-5,276.82736132445575,0.33701381669421404,0.9996890245479578,0.9996890245479578
104248.046875,1.186279296875,333.427734375,0.30668945312500007,0.133837890625,30255.435466766357,9183.59375,0.3243376174366816,1.0000726063546732,3.148857996725044e-5,210.44060483948402,0.3243376174366816,1.0000726063546732,1.0000726063546732
104321.2890625,1.2840576171875,262.4560546875,0.2015869140625,0.3769287109375,33302.964091300964,9556.640625,0.3993951865985362,1.0000157660637365,3.449718831490455e-5,174.08071783498022,0.3993951865985362,1.0000157660637365,1.0000157660637365
104541.015625,1.565673828125,167.744140625,0.274755859375,0.159912109375,23484.384059906006,6675.78125,0.3123140439695393,1.0000645610942827,4.295571406322644e-5,229.91325236436194,0.3123140439695393,1.0000645610942827,1.0000645610942827
104614.2578125,0.9046630859375,66.2255859375,0.23586425781250003,0.32917480468750004,37388.37516307831,6048.828125,0.22275493865273496,1.0009814063654474,3.770846133503057e-5,240.66300497162132,0.22275493865273496,1.0009814063654474,1.0009814063654474
104833.984375,1.136474609375,296.904296875,0.15375976562500002,0.24692382812500002,31222.388744354248,6386.71875,0.40238905962447,0.9997136315189495,3.092521066260712e-5,184.01464125264746,0.40238905962447,0.9997136315189495,0.9997136315189495
104907.2265625,1.4158935546875,368.0419921875,0.3381103515625,0.26618652343750004,28390.71547985077,6759.765625,0.34813224408977433,0.9989380452711037,3.64736913752654e-5,266.5273791945933,0.34813224408977433,0.9989380452711037,0.9989380452711037
105126.953125,1.510009765625,121.923828125,0.110107421875,0.196826171875,38203.28664779663,9878.90625,0.3472453850314069,0.9984532742723906,4.329981472930625e-5,142.16124677725975,0.3472453850314069,0.9984532742723906,0.9984532742723906
